Gen,Resource,Stamp,TimeStamp_Start,TimeStamp_End,Duration,Indiv_id
463,1,STEP,6628727711500,6628769678400,41966900,-1
464,1,STEP,6628773529400,6628796665800,23136400,-1
465,1,STEP,6628798574000,6628827780400,29206400,-1
466,1,STEP,6628829743900,6628860489200,30745300,-1
467,1,STEP,6628862035200,6628884739500,22704300,-1
468,1,STEP,6628886198500,6628922505900,36307400,-1
469,1,STEP,6628923974600,6628951635800,27661200,-1
470,1,STEP,6628953157000,6628974422800,21265800,-1
471,1,STEP,6628976448100,6629013608900,37160800,-1
472,1,STEP,6629017907000,6629046075700,28168700,-1
473,1,STEP,6629047583900,6629078684900,31101000,-1
474,1,STEP,6629080118000,6629100457000,20339000,-1
475,1,STEP,6629103293700,6629129097000,25803300,-1
476,1,STEP,6629130549800,6629160237000,29687200,-1
477,1,STEP,6629161760500,6629187573000,25812500,-1
478,1,STEP,6629188989300,6629210273100,21283800,-1
479,1,STEP,6629213736500,6629249344800,35608300,-1
480,1,STEP,6629250745900,6629273224500,22478600,-1
481,1,STEP,6629274594000,6629299949800,25355800,-1
482,1,STEP,6629301409600,6629335596500,34186900,-1
483,1,STEP,6629336981900,6629367443800,30461900,-1
484,1,STEP,6629369022900,6629401528700,32505800,-1
485,1,STEP,6629403112000,6629423325200,20213200,-1
486,1,STEP,6629424312900,6629447041500,22728600,-1
487,1,STEP,6629448768200,6629474944300,26176100,-1
488,1,STEP,6629476355800,6629505343000,28987200,-1
489,1,STEP,6629506670200,6629523822200,17152000,-1
490,1,STEP,6629524884900,6629547916300,23031400,-1
491,1,STEP,6629549418500,6629569259100,19840600,-1
492,1,STEP,6629571744100,6629590168600,18424500,-1
493,1,STEP,6629591186300,6629607625000,16438700,-1
494,1,STEP,6629608670800,6629634708100,26037300,-1
495,1,STEP,6629637477400,6629661457100,23979700,-1
496,1,STEP,6629663611700,6629681873900,18262200,-1
497,1,STEP,6629683204000,6629707042800,23838800,-1
498,1,STEP,6629708575900,6629731569900,22994000,-1
499,1,STEP,6629732970800,6629754756000,21785200,-1
500,1,STEP,6629755811400,6629783167400,27356000,-1
501,1,STEP,6629784617200,6629808424300,23807100,-1
502,1,STEP,6629809533400,6629831237400,21704000,-1
503,1,STEP,6629832441900,6629851204300,18762400,-1
504,1,STEP,6629852880800,6629881483800,28603000,-1
505,1,STEP,6629882743800,6629904045200,21301400,-1
506,1,STEP,6629905371700,6629923355700,17984000,-1
507,1,STEP,6629924258400,6629948079600,23821200,-1
508,1,STEP,6629950354400,6629976410500,26056100,-1
